repo,file,line,module,symbol,reexport_package,already_in_all,action
audit_backend,src/velmios/app/services/audits.py,7,fastapi_factory_utilities.core.plugins.redis_plugin.depends,depends_redis_plugin,fastapi_factory_utilities.core.plugins.redis_plugin,yes,migrate
audit_backend,tests/fixtures/aiopika.py,10,fastapi_factory_utilities.core.utils.rabbitmq_configs,RabbitMQCredentialsConfig,fastapi_factory_utilities.core.utils,no,migrate
audit_backend,tests/fixtures/applications.py,13,fastapi_factory_utilities.core.security.jwt.configs,JWTLocation,fastapi_factory_utilities.core.security.jwt,no,migrate
audit_backend,tests/fixtures/applications.py,14,fastapi_factory_utilities.core.security.types,OAuth2Audience,fastapi_factory_utilities.core.security,no,migrate
audit_backend,tests/fixtures/applications.py,14,fastapi_factory_utilities.core.security.types,OAuth2Issuer,fastapi_factory_utilities.core.security,no,migrate
audit_backend,tests/fixtures/audit_factories.py,9,fastapi_factory_utilities.core.plugins.aiopika.types,PartStr,fastapi_factory_utilities.core.plugins.aiopika,yes,migrate
audit_backend,tests/fixtures/configs.py,6,fastapi_factory_utilities.core.app.config,AppCsrfConfig,fastapi_factory_utilities.core.app,yes,migrate
audit_backend,tests/fixtures/configs.py,6,fastapi_factory_utilities.core.app.config,BaseApplicationConfig,fastapi_factory_utilities.core.app,yes,migrate
audit_backend,tests/fixtures/odm.py,5,fastapi_factory_utilities.core.plugins.odm_plugin.configs,ODMConfig,fastapi_factory_utilities.core.plugins.odm_plugin,no,migrate
audit_backend,tests/fixtures/redis_plugin.py,5,fastapi_factory_utilities.core.utils.redis_configs,RedisCredentialsConfig,fastapi_factory_utilities.core.utils,no,migrate
audit_backend,tests/fixtures/taskiq.py,7,fastapi_factory_utilities.core.utils.redis_configs,RedisCredentialsConfig,fastapi_factory_utilities.core.utils,no,migrate
audit_backend,tests/units/app/test_audits_ingestion.py,9,fastapi_factory_utilities.core.plugins.aiopika.types,PartStr,fastapi_factory_utilities.core.plugins.aiopika,yes,migrate
customer_backend,src/velmios/app/api/hooks/kratos/registrations/routes.py,7,fastapi_factory_utilities.core.services.kratos.types,KratosExternalId,fastapi_factory_utilities.core.services.kratos,yes,migrate
customer_backend,src/velmios/app/configs.py,6,fastapi_factory_utilities.core.app.config,AppCsrfConfig,fastapi_factory_utilities.core.app,yes,migrate
customer_backend,src/velmios/app/services/admins.py,8,fastapi_factory_utilities.core.plugins.redis_plugin.depends,depends_redis_plugin,fastapi_factory_utilities.core.plugins.redis_plugin,yes,migrate
customer_backend,src/velmios/app/services/customer_notification/service.py,10,fastapi_factory_utilities.core.security.types,OAuth2Scope,fastapi_factory_utilities.core.security,no,migrate
customer_backend,src/velmios/app/services/customers.py,10,fastapi_factory_utilities.core.plugins.redis_plugin.depends,depends_redis_plugin,fastapi_factory_utilities.core.plugins.redis_plugin,yes,migrate
customer_backend,src/velmios/app/services/realms.py,9,fastapi_factory_utilities.core.plugins.redis_plugin.depends,depends_redis_plugin,fastapi_factory_utilities.core.plugins.redis_plugin,yes,migrate
customer_backend,tests/fixtures/aiopika.py,8,fastapi_factory_utilities.core.utils.rabbitmq_configs,RabbitMQCredentialsConfig,fastapi_factory_utilities.core.utils,no,migrate
customer_backend,tests/fixtures/configs.py,6,fastapi_factory_utilities.core.app.config,BaseApplicationConfig,fastapi_factory_utilities.core.app,yes,migrate
customer_backend,tests/fixtures/odm.py,5,fastapi_factory_utilities.core.plugins.odm_plugin.configs,ODMConfig,fastapi_factory_utilities.core.plugins.odm_plugin,no,migrate
customer_backend,tests/fixtures/redis_plugin.py,5,fastapi_factory_utilities.core.utils.redis_configs,RedisCredentialsConfig,fastapi_factory_utilities.core.utils,no,migrate
